plot_id,title,area,location,category_type,property_type,room_count,status,price_per_sqft,size,unit,zoning,description,beds,baths,garage,year_built,demand,agent_name,agent_role,agent_contact,is_public,lat,lng,current_price,past_year_gain,price_change,circle_rate,market_rate,rera_number,is_verified,site_status,developer_name,flood_risk,price_2020,price_2021,price_2022,price_2023,price_2024,price_2025
HYD-011,Techno Tower Office,Nanakramguda,Hyderabad,commercial,Office,0,Available,9800,6500,sq.ft,Commercial,"Modern co-working and office space near Financial District. LEED certified with EV charging stations.",0,6,10,2022,High,Vikram Singh,Commercial Specialist,+91 99887 11223,true,17.4156,78.3772,63700000,8280000,+₹8.28Cr in last year,7500,9800,TS/RERA/05/2022/067,true,developed,Raheja IT Park,low,0,0,40000000,48000000,55420000,63700000
HYD-012,Cloud Nine Villa,Kokapet,Hyderabad,residential,Villa,4,Available,9500,3200,sq.ft,Residential,"Ultra-modern 4BHK villa with infinity pool and smart home features in fastest-growing locality in Hyderabad.",4,4,2,2024,High,Neha Gupta,Luxury Specialist,+91 98765 77889,true,17.3942,78.3416,30400000,3950000,+₹39.5L in last year,7000,9500,TS/RERA/05/2024/005,true,under_construction,My Home Group,low,0,0,0,0,26450000,30400000
HYD-013,Metro Comfort 3BHK,Ameerpet,Hyderabad,residential,Apartment,3,Available,7500,1600,sq.ft,Residential,"Compact 3BHK near Ameerpet Metro interchange. Ideal investment with high rental yield. Ready to move.",3,2,1,2019,High,Mohammed Irfan,Property Advisor,+91 88001 33445,true,17.4375,78.4483,12000000,1560000,+₹15.6L in last year,5800,7500,TS/RERA/05/2019/178,true,developed,NCC Urban,low,7000000,7800000,8800000,9800000,10440000,12000000
HYD-014,Royal Orchid Villa,Manikonda,Hyderabad,residential,Villa,3,Available,6200,2200,sq.ft,Residential,"Independent 3BHK villa with landscaped garden and corner plot. Ample natural light near Outer Ring Road.",3,3,2,2020,Medium,Ravi Teja,Senior Agent,+91 81234 99876,true,17.4052,78.3872,13640000,1770000,+₹17.7L in last year,4800,6200,TS/RERA/05/2020/203,true,developed,Aliens Group,low,8000000,9200000,10500000,11500000,11870000,13640000
HYD-015,Emerald Bay Apartments,Bachupally,Hyderabad,residential,Apartment,3,Available,4200,1550,sq.ft,Residential,"Affordable 3BHK in rapidly developing area. Near proposed metro extension. Community hall and jogging track.",3,2,1,2023,Medium,Swathi Naidu,Property Advisor,+91 70001 99001,true,17.5324,78.3628,6510000,846000,+₹8.46L in last year,3100,4200,,false,under_construction,SLN Developers,low,0,0,0,4200000,5664000,6510000
HYD-016,Heritage Bungalow,Begumpet,Hyderabad,residential,Independent House,5,Available,10000,4500,sq.ft,Residential,"Restored heritage property with modern amenities. Teak wood interiors and courtyard. Walking distance to airport road.",5,4,3,1985,Medium,Farhana Khan,Heritage Specialist,+91 81234 55667,true,17.4440,78.4674,45000000,5850000,+₹58.5L in last year,7500,10000,,true,developed,,low,28000000,32000000,36000000,38000000,39150000,45000000
HYD-017,Lotus Commercial Hub,Uppal,Hyderabad,commercial,Retail,0,Available,4200,2400,sq.ft,Commercial,"Affordable commercial space near Uppal Ring Road. Suitable for showroom or restaurant. High visibility corner.",0,2,3,2019,Low,Srinivas Rao,Commercial Specialist,+91 99001 55667,true,17.3988,78.5594,10080000,1310000,+₹13.1L in last year,3000,4200,,false,developed,Janapriya Engineers,medium,6500000,7200000,7900000,8600000,8770000,10080000
HYD-018,Secunderabad Plaza Office,Secunderabad,Hyderabad,commercial,Office,0,Available,7500,3000,sq.ft,Commercial,"Prime office space in Secunderabad commercial district. Ground floor with ample parking and high footfall.",0,3,5,2018,Medium,Prasad Reddy,Commercial Advisor,+91 90001 88990,true,17.4399,78.4983,22500000,2925000,+₹29.25L in last year,5800,7500,TS/RERA/05/2018/156,true,developed,Vasavi Group,low,14000000,16000000,17500000,19000000,19575000,22500000
HYD-019,Prestige Towers Premium,Gachibowli,Hyderabad,residential,Apartment,3,Available,8200,1950,sq.ft,Residential,"Premium 3BHK in IT hub with clubhouse and Olympic-size swimming pool. Near major IT companies.",3,3,1,2021,High,Priya Sharma,Senior Agent,+91 98765 43210,true,17.4389,78.3547,15990000,2080000,+₹20.8L in last year,6300,8200,TS/RERA/05/2021/056,true,developed,Prestige Group,low,9500000,11000000,12500000,13500000,13910000,15990000
HYD-020,Summit Business Park,HITEC City,Hyderabad,commercial,Office,0,Available,11000,3500,sq.ft,Commercial,"Plug-and-play office with server room and 100% power backup. Walking distance to HITEC City Metro.",0,3,5,2022,High,Rohit Verma,Commercial Specialist,+91 99887 66554,true,17.4512,78.3815,38500000,5005000,+₹5Cr in last year,8500,11000,TS/RERA/05/2022/098,true,developed,DLF Cyber City,low,0,0,24000000,28000000,33495000,38500000
HYD-021,Kompally Nature Homes,Kompally,Hyderabad,residential,Villa,3,Available,5500,2400,sq.ft,Residential,"3BHK independent villa in green gated community with clubhouse cricket ground and 24/7 security.",3,3,2,2022,Medium,Divya Rao,Senior Agent,+91 91234 87654,true,17.5491,78.4878,13200000,1716000,+₹17.16L in last year,4200,5500,TS/RERA/05/2022/201,true,developed,Ramky Group,low,0,0,8000000,9800000,11484000,13200000
HYD-022,Tolichowki Classic 3BHK,Tolichowki,Hyderabad,residential,Apartment,3,Available,5800,1600,sq.ft,Residential,"Spacious 3BHK in well-connected neighbourhood. Close to old city and Golkonda fort. Ready to move.",3,2,1,2020,Medium,Lakshmi Devi,Property Advisor,+91 90001 45678,true,17.3978,78.4279,9280000,1206000,+₹12.06L in last year,4400,5800,,false,developed,Fortune Infra,low,5500000,6200000,7000000,7800000,8074000,9280000
HYD-023,LB Nagar Budget Home,LB Nagar,Hyderabad,residential,Apartment,2,Available,4000,1100,sq.ft,Residential,"Compact 2BHK in affordable Hyderabad suburb. Metro connectivity planned. Good for first-time buyers.",2,2,1,2019,Low,Mohammed Irfan,Property Advisor,+91 88001 33445,true,17.3440,78.5481,4400000,528000,+₹5.28L in last year,3000,4000,,false,developed,Janapriya Engineers,high,2700000,3100000,3500000,3800000,3872000,4400000
HYD-024,Narsingi Countryside Villa,Narsingi,Hyderabad,residential,Villa,4,Available,8000,3000,sq.ft,Residential,"Exclusive 4BHK villa in upcoming Narsingi locality. Serene environment with forest views and organic farms nearby.",4,4,2,2023,High,Neha Gupta,Luxury Specialist,+91 98765 77889,true,17.3700,78.3700,24000000,3120000,+₹31.2L in last year,5500,8000,TS/RERA/05/2023/301,true,under_construction,My Home Group,low,0,0,0,15000000,20880000,24000000
HYD-025,Somajiguda Corporate Hub,Somajiguda,Hyderabad,commercial,Office,0,Available,10500,4000,sq.ft,Commercial,"Premium office space in Somajiguda prime location. Fully fitted with conference rooms and cafeteria.",0,4,6,2020,High,Vikram Singh,Commercial Specialist,+91 99887 11223,true,17.4260,78.4629,42000000,5460000,+₹54.6L in last year,8000,10500,TS/RERA/05/2020/150,true,developed,Sattva Group,low,26000000,29000000,33000000,36000000,36540000,42000000
HYD-026,Banjara Skyline Duplex,Banjara Hills,Hyderabad,residential,Duplex,4,Available,15000,3000,sq.ft,Residential,"Exquisite 4BHK duplex in Banjara Hills with private rooftop terrace Jacuzzi and smart home automation.",4,5,2,2022,High,Karan Malhotra,Luxury Specialist,+91 98001 23456,true,17.4200,78.4450,45000000,5850000,+₹58.5L in last year,11500,15000,TS/RERA/05/2022/045,true,developed,Phoenix Group,low,0,0,27000000,33000000,39150000,45000000
HYD-027,Kondapur Comfort Flat,Kondapur,Hyderabad,residential,Apartment,2,Sold,6800,1350,sq.ft,Residential,"Cosy 2BHK with modern fittings in Kondapur IT belt. Excellent rental returns. Sold to investor.",2,2,1,2020,High,Ananya Reddy,Property Advisor,+91 91234 56780,true,17.4560,78.3700,9180000,1193000,+₹11.93L in last year,5200,6800,,true,developed,My Home Group,low,5500000,6200000,7000000,7700000,7987000,9180000
HYD-028,Jubilee Hills Heritage Villa,Jubilee Hills,Hyderabad,residential,Villa,5,Sold,17000,3800,sq.ft,Residential,"Prestigious 5BHK heritage villa on Road No 12 with private pool wine cellar and modern amenities.",5,5,3,2005,High,Karan Malhotra,Luxury Specialist,+91 98001 23456,true,17.4330,78.4100,64600000,8400000,+₹84L in last year,13000,17000,TS/RERA/05/2005/088,true,developed,Lanco Hills,low,41000000,45000000,50000000,55000000,56200000,64600000
HYD-029,Madhapur Tech Apartment,Madhapur,Hyderabad,residential,Apartment,3,Sold,8000,1850,sq.ft,Residential,"3BHK with premium finishes near Google and Microsoft campuses. High rental demand location.",3,3,1,2021,High,Meera Joshi,Senior Agent,+91 87654 32109,true,17.4490,78.3920,14800000,1924000,+₹19.24L in last year,6100,8000,TS/RERA/05/2021/122,true,developed,Aparna Constructions,low,8800000,9900000,11500000,12500000,12876000,14800000
HYD-030,Financial District HQ Office,Financial District,Hyderabad,commercial,Office,0,Sold,14000,6000,sq.ft,Commercial,"Landmark Grade A office building. LEED Platinum certified with premium amenities. Sold to MNC.",0,6,12,2022,High,Anil Kumar,Commercial Head,+91 98765 11122,true,17.4210,78.3755,84000000,10920000,+₹10.92Cr in last year,11000,14000,TS/RERA/05/2022/099,true,developed,Salarpuria Sattva,low,0,0,52000000,62000000,73080000,84000000
HYD-031,Kukatpally Family Home,Kukatpally,Hyderabad,residential,Apartment,3,Sold,5500,1500,sq.ft,Residential,"Family-friendly 3BHK in Kukatpally township. Walking distance to KPHB colony and JNTU metro station.",3,2,1,2019,Medium,Lakshmi Devi,Property Advisor,+91 90001 45678,true,17.4860,78.3880,8250000,1073000,+₹10.73L in last year,4200,5500,,true,developed,Manjeera Group,low,5000000,5600000,6300000,7000000,7177000,8250000
HYD-032,Miyapur Starter Home,Miyapur,Hyderabad,residential,Apartment,2,Sold,4200,1050,sq.ft,Residential,"Smart 2BHK starter home in Miyapur. Metro connectivity and proximity to IT hubs.",2,2,1,2020,Medium,Sneha Kumari,Property Advisor,+91 70001 23456,true,17.5000,78.3550,4410000,529000,+₹5.29L in last year,3100,4200,,false,developed,SLN Developers,medium,2600000,3000000,3400000,3700000,3881000,4410000
HYD-033,Gachibowli Prestige Villa,Gachibowli,Hyderabad,residential,Villa,4,Reserved,9200,3100,sq.ft,Residential,"4BHK villa under reservation in premium gated community. Private gym pool and smart security system.",4,4,2,2023,High,Priya Sharma,Senior Agent,+91 98765 43210,true,17.4410,78.3500,28520000,3708000,+₹37.08L in last year,7000,9200,TS/RERA/05/2023/401,true,under_construction,Prestige Group,low,0,0,0,18000000,24812000,28520000
HYD-034,HITEC Retail Galleria,HITEC City,Hyderabad,commercial,Retail,0,Reserved,14000,2800,sq.ft,Commercial,"Premium retail space in HITEC City commercial galleria. Reserved by luxury brand. High footfall location.",0,2,4,2023,High,Rohit Verma,Commercial Specialist,+91 99887 66554,true,17.4500,78.3800,39200000,5096000,+₹50.96L in last year,10500,14000,TS/RERA/05/2023/502,true,under_construction,DLF Cyber City,low,0,0,0,24000000,34104000,39200000
HYD-035,Kokapet Pinnacle Villa,Kokapet,Hyderabad,residential,Villa,4,Reserved,10500,3400,sq.ft,Residential,"4BHK villa in Kokapet's most premium project. Infinity edge pool and landscaped courtyard. Reserved.",4,5,2,2025,High,Neha Gupta,Luxury Specialist,+91 98765 77889,true,17.3950,78.3430,35700000,4641000,+₹46.41L projected,7500,10500,TS/RERA/05/2025/003,true,under_construction,My Home Group,low,0,0,0,0,31059000,35700000
HYD-036,Nallagandla Lake Duplex,Nallagandla,Hyderabad,residential,Duplex,3,Reserved,6500,2700,sq.ft,Residential,"3BHK lake-facing duplex with private terrace and expansive green views. Reserved for June delivery.",3,3,2,2023,Medium,Divya Rao,Senior Agent,+91 91234 87654,true,17.4630,78.3320,17550000,2282000,+₹22.82L in last year,5000,6500,TS/RERA/05/2023/340,true,under_construction,Rajapushpa Properties,low,0,0,0,11000000,15268000,17550000
HYD-037,Ameerpet Business Centre,Ameerpet,Hyderabad,commercial,Office,0,Reserved,8000,2500,sq.ft,Commercial,"Reserved co-working space with meeting rooms and tech infrastructure. Metro interchange location.",0,3,3,2020,Medium,Vikram Singh,Commercial Specialist,+91 99887 11223,true,17.4380,78.4490,20000000,2600000,+₹26L in last year,6200,8000,,true,developed,NCC Urban,low,12000000,13500000,15000000,16500000,17400000,20000000
HYD-038,Nanakramguda Warehouse,Nanakramguda,Hyderabad,commercial,Warehouse,0,Available,2800,8000,sq.ft,Commercial,"Large modern warehouse with loading docks and cold storage. Near Financial District logistics hub.",0,2,15,2019,Medium,Srinivas Rao,Commercial Specialist,+91 99001 55667,true,17.4160,78.3780,22400000,2912000,+₹29.12L in last year,2000,2800,,false,developed,Raheja IT Park,low,14000000,16000000,17500000,18500000,19488000,22400000
HYD-039,Bachupally Affordable Flat,Bachupally,Hyderabad,residential,Apartment,2,Available,3900,1200,sq.ft,Residential,"Budget 2BHK in growing Bachupally suburb. Good connectivity via ORR. Suitable for small families.",2,2,1,2022,Low,Swathi Naidu,Property Advisor,+91 70001 99001,true,17.5330,78.3640,4680000,562000,+₹5.62L in last year,2900,3900,,false,developed,SLN Developers,low,0,0,2900000,3600000,4118000,4680000
HYD-040,LB Nagar Commercial Shop,LB Nagar,Hyderabad,commercial,Retail,0,Available,4500,1800,sq.ft,Commercial,"High-footfall retail shop in LB Nagar market. Ideal for restaurant pharmacy or supermarket.",0,2,2,2018,Low,Prasad Reddy,Commercial Advisor,+91 90001 88990,true,17.3445,78.5490,8100000,972000,+₹9.72L in last year,3200,4500,,false,developed,Janapriya Engineers,high,5000000,5700000,6300000,6900000,7128000,8100000
HYD-041,Kompally Meadows 3BHK,Kompally,Hyderabad,residential,Apartment,3,Available,4800,1600,sq.ft,Residential,"Spacious 3BHK in Kompally with swimming pool and jogging track. Near JNTU and multiple schools.",3,2,1,2022,Medium,Divya Rao,Senior Agent,+91 91234 87654,true,17.5500,78.4890,7680000,922000,+₹9.22L in last year,3600,4800,TS/RERA/05/2022/611,false,developed,Ramky Group,low,0,0,4700000,5800000,6758000,7680000
HYD-042,Tolichowki Classic Bungalow,Tolichowki,Hyderabad,residential,Independent House,4,Available,7000,3200,sq.ft,Residential,"4BHK independent house with open terrace and parking for 4 cars. Walking distance to mosque and market.",4,3,2,2005,Medium,Ravi Teja,Senior Agent,+91 81234 99876,true,17.3985,78.4285,22400000,2912000,+₹29.12L in last year,5200,7000,,false,developed,Fortune Infra,low,13000000,15000000,17000000,18500000,19488000,22400000
HYD-043,Begumpet Corporate Office,Begumpet,Hyderabad,commercial,Office,0,Available,9000,3500,sq.ft,Commercial,"Well-located office near Begumpet Airport Road. Suitable for consulate airline or corporate HQ.",0,4,5,2016,Medium,Farhana Khan,Heritage Specialist,+91 81234 55667,true,17.4445,78.4680,31500000,4095000,+₹40.95L in last year,7000,9000,,true,developed,Vasavi Group,low,20000000,22000000,24500000,26500000,27405000,31500000
HYD-044,Uppal Starter Flat,Uppal,Hyderabad,residential,Apartment,2,Draft,3600,1100,sq.ft,Residential,"2BHK under documentation in Uppal. Affordable entry-level property near Uppal IT Park.",2,2,1,2023,Low,Mohammed Irfan,Property Advisor,+91 88001 33445,false,17.3995,78.5600,3960000,475000,+₹4.75L projected,2600,3600,,false,under_construction,Janapriya Engineers,medium,0,0,0,2400000,3485000,3960000
HYD-045,Shamshabad Logistics Hub,Shamshabad,Hyderabad,commercial,Warehouse,0,Available,2200,12000,sq.ft,Commercial,"Large logistics warehouse near Rajiv Gandhi International Airport. Cold chain ready with 40ft dock access.",0,3,20,2020,Low,Srinivas Rao,Commercial Specialist,+91 99001 55667,true,17.2403,78.4294,26400000,3168000,+₹31.68L in last year,1600,2200,,false,developed,Fortune Infra,low,15000000,17000000,19500000,21000000,23232000,26400000
HYD-046,Jubilee Hills Sky Penthouse,Jubilee Hills,Hyderabad,residential,Penthouse,4,Available,20000,3800,sq.ft,Residential,"Opulent 4BHK sky penthouse on Road No 36. Private lift chef's kitchen and 270-degree Hyderabad skyline views.",4,5,3,2023,High,Karan Malhotra,Luxury Specialist,+91 98001 23456,true,17.4335,78.4080,76000000,9880000,+₹98.8L in last year,15500,20000,TS/RERA/05/2023/701,true,under_construction,Phoenix Group,low,0,0,0,48000000,66120000,76000000
HYD-047,FINSQ Premium Tower,Financial District,Hyderabad,commercial,Office,0,Available,12500,7000,sq.ft,Commercial,"Institutional grade office for banking and fintech. Fire suppression raised flooring and dual fibre connectivity.",0,6,14,2024,High,Anil Kumar,Commercial Head,+91 98765 11122,true,17.4220,78.3760,87500000,11375000,+₹11.375Cr in last year,9500,12500,TS/RERA/05/2024/101,true,under_construction,Salarpuria Sattva,low,0,0,0,0,76125000,87500000
HYD-048,Kokapet Garden Apartments,Kokapet,Hyderabad,residential,Apartment,3,Available,8500,1800,sq.ft,Residential,"3BHK with garden-view balconies in Hyderabad's fastest-growing area. Upcoming metro line advantage.",3,3,1,2024,High,Priya Sharma,Senior Agent,+91 98765 43210,true,17.3948,78.3420,15300000,1989000,+₹19.89L in last year,6200,8500,TS/RERA/05/2024/212,false,under_construction,My Home Group,low,0,0,0,0,13311000,15300000
HYD-049,Gachibowli Lake Duplex,Gachibowli,Hyderabad,residential,Duplex,4,Available,9000,2900,sq.ft,Residential,"4BHK lake-view duplex in Gachibowli with rooftop terrace. Steps from ISB and premier IT parks.",4,4,2,2022,High,Priya Sharma,Senior Agent,+91 98765 43210,true,17.4415,78.3495,26100000,3393000,+₹33.93L in last year,7000,9000,TS/RERA/05/2022/502,true,developed,Prestige Group,low,0,0,15500000,18500000,22707000,26100000
HYD-050,Kondapur High-Rise Studio,Kondapur,Hyderabad,residential,Apartment,1,Draft,6500,750,sq.ft,Residential,"Compact 1BHK studio in Kondapur high-rise. Perfect for working professional. Gym and concierge on-site.",1,1,0,2024,Medium,Ananya Reddy,Property Advisor,+91 91234 56780,false,17.4580,78.3690,4875000,585000,+₹5.85L projected,4800,6500,,false,under_construction,My Home Group,low,0,0,0,0,4290000,4875000
